date,Cluster v2 + VM(M&M),"Cluster v2 + VM(실시간,≤1.5x)",Cluster v2 + TV12m(수정),Cluster v1 + VM(M&M),"Cluster v1 + VM(실시간,≤1.5x)",Naive GMVP-LW + VM(M&M),"Naive GMVP-LW + VM(실시간,≤1.5x)",EW Market + VM(M&M),"EW Market + VM(실시간,≤1.5x)",Market RV2 (t-1),Market ann.vol (t-1)
2003-02-28,0.21935222866763648,1.0,1.0,0.2363911049817061,1.0,0.2214635365594437,1.0,0.2330811913036693,1.0,0.004718,0.2379411691994472
2003-03-31,0.4426657434070693,1.0,1.0,0.4770512014268153,1.0,0.4469264873400802,1.0,0.4703716002766421,1.0,0.0023378899999999,0.1760903296905492
2003-04-30,0.18641507866256976,1.0,1.0,0.20089545794889938,1.0,0.1882093600752674,1.0,0.1980825491291196,1.0,0.00555161,0.2581071870367038
2003-05-30,0.3632669030825957,1.0,1.0,0.3914848057144311,1.0,0.36676341772468196,1.0,0.38600329272231554,1.0,0.0028488799999999,0.1848960789200246
2003-06-30,0.48669749285356223,1.0,1.0,0.5245032559108634,1.0,0.49138205094456516,1.0,0.5171592380340124,1.0,0.0021263799999999,0.1597390371825246
2003-07-31,0.5167594497642704,1.0,1.0,0.5569003701558358,1.0,0.5217333600412724,1.0,0.5491027326236402,1.0,0.00200268,0.155023095053608
2003-08-29,0.5215881010684534,1.0,1.0,0.5621041021821774,1.0,0.5266084880540224,1.0,0.5542336027552326,1.0,0.0019841399999999,0.1507561667666759
2003-09-30,1.0331577782087362,1.0,1.0,1.113411567754185,1.0,1.0431021228997548,1.0,1.0978217418270242,1.0,0.00100169,0.1096370375375037
2003-10-31,0.5355425342333573,1.0,1.0,0.5771424899627877,1.0,0.5406972353539853,1.0,0.5690614252296122,1.0,0.00193244,0.1522802679272662
2003-11-28,0.6995382043205798,1.0,1.0,0.7538770410526422,1.0,0.7062713956830462,1.0,0.7433213649838191,1.0,0.00147941,0.1273153086870819
2003-12-31,1.0101747372851682,1.0,1.0,1.088643246626278,1.0,1.0198978657342803,1.0,1.0734002231090034,1.0,0.00102448,0.1165668906679765
2004-01-30,1.0604174589154138,1.0,1.0,1.1427887301511255,1.0,1.0706241833385817,1.0,1.1267875694927063,1.0,0.00097594,0.1057305494684913
2004-02-27,1.1498931276154545,1.0,0.9402973325917874,1.239214703670766,1.0,1.1609610727638393,1.0,1.2218634006341242,1.0,0.0009,0.106489436095793
2004-03-31,1.4555609210322207,1.0,1.1210221668102223,1.5686262071781847,1.0,1.469570978182075,1.0,1.5466625324482584,1.0,0.000711,0.0971087290780694
2004-04-30,0.4942942230758745,1.0,1.1443051653590206,0.532690086117277,1.0,0.4990519011737619,1.0,0.5252314374412592,1.0,0.0020936999999999,0.1514584747223389
2004-05-28,0.7938996869012857,1.0,1.0608561363169704,0.8555683494585556,1.0,0.8015411258984599,1.0,0.8435888065625258,1.0,0.00130357,0.1250713396426215
2004-06-30,0.8960671678649186,1.0,1.1425332244354898,0.9656720117960149,1.0,0.9046919887504593,1.0,0.9521508135233967,1.0,0.00115494,0.1206326821387968
