date,"Cluster v2 (잔차+동적K, [C23+K24])","Cluster v1 (원시+K=10, [K24])",Naive GMVP-LW,EW Market
2003-02-28,-0.023029376536456633,-0.019614775867836984,-0.011745024116993583,-0.02940253549684142
2003-03-31,0.0045858044649439034,0.00276183063460701,0.020415486240289295,0.007738065321998403
2003-04-30,0.07249059873217192,0.07369245753053365,0.048697098405439364,0.09363087859836472
2003-05-30,0.06379839664942519,0.06530105141704505,0.07071808105855937,0.11653836357737832
2003-06-30,0.014093520960902967,0.012856356302858085,0.013671880299580157,0.03234888245444787
2003-07-31,0.049453957735211586,0.046840033939825505,0.04080836751104024,0.060690370113016666
2003-08-29,0.021559710995595484,0.019221426385893612,0.023273320093765874,0.04897071417432659
2003-09-30,-0.0014265667479773103,-0.0003593764148572681,0.007675824460561563,-0.00015739606008895535
2003-10-31,0.07685038076473676,0.0732149822874319,0.0539809276561039,0.08740085814925366
2003-11-28,0.03579816344938478,0.034873945158608866,0.03675653714117808,0.03561436930809886
2003-12-31,0.02854379514518638,0.03280243175801303,0.037066161505826256,0.029925873191775473
2004-01-30,0.02453574758846178,0.023814242304262833,0.03150049438953227,0.05863204977919569
2004-02-27,0.026119716433678872,0.025910862567499904,0.017481589209516736,0.008522096455188118
2004-03-31,0.009662160725069003,0.00998056648306616,0.006114536943375509,-0.0006164451317031978
2004-04-30,-0.022144704698393667,-0.025347851748178732,-0.03466097756414345,-0.04182088444602821
2004-05-28,0.005093393262295926,0.010856509621814735,0.005166265707076511,0.009299722013479434
2004-06-30,0.04161876078517109,0.03855300160971811,0.016613193896379726,0.02979833558288984
2004-07-30,-0.023043975761370745,-0.02550353211139124,-0.03846782279137041,-0.0693596807429454
2004-08-31,0.010909326377949303,0.0074464275742418175,0.011193754268796138,-0.015019737713265762
2004-09-30,0.03984321540644692,0.038497825130857574,0.026279224972462756,0.04683675754420162
2004-10-29,0.01646942404841144,0.017598828663256752,0.014930575201309016,0.020010055840907516
2004-11-30,0.062331258630029966,0.07077008912060208,0.05828483957065256,0.08138190328907002
2004-12-31,0.022737591376724833,0.02627028619805907,0.04114721975221498,0.051124667181255884
2005-01-31,-0.021390225620237947,-0.019595127400384143,-0.01629578932758921,-0.039928692877540445
2005-02-28,0.026762662831655792,0.032584097521287714,0.009521372606021417,0.014774799814109419
2005-03-31,-0.012208314685859971,-0.01587396345970402,-0.018100147530434055,-0.02901713585321254
2005-04-29,-0.03531939896412355,-0.04061865001161471,-0.026259000151148498,-0.05822592974218968
2005-05-31,0.03950105441915562,0.045467164726959795,0.03370019103281345,0.05943001130750317
2005-06-30,0.03526243575815177,0.0338876699406522,0.02104007991067704,0.030966372361112538
2005-07-29,0.04546047264413006,0.048230215831127576,0.05376425469342018,0.06544422067000198
2005-08-31,-0.013303075625593063,-0.014543374744664004,-0.00024209026618960072,-0.012218829831038742
2005-09-30,0.006629604418963747,0.0032014249032585873,0.016223804835038363,0.007699633305143948
2005-10-31,-0.022790142350617288,-0.021629429335346336,-0.034195935794105466,-0.03372737090201998
2005-11-30,0.028917747042845575,0.0369994078345768,0.02555517677191578,0.04362415881748709
2005-12-30,-0.0031657613613755176,-0.0011871761102071182,0.009692525797091234,0.0034017501192504427
2006-01-31,0.046224965842311345,0.04600645528373863,0.05385198699073848,0.08035076088461451
2006-02-28,0.011696928856128948,0.009012201364270202,0.0008082929315963543,0.00012887670530421243
2006-03-31,0.017016625953431452,0.023201041932866547,0.027253478087154583,0.04004738445538553
2006-04-28,0.009504492925814307,0.0038192420189676504,0.003832946951926679,0.004742583982361674
2006-05-31,-0.018324669535841817,-0.030870427853802725,-0.027665376338522545,-0.05213795909285667
2006-06-30,0.001478191635334813,-0.0017848280058115828,-0.008453700544054811,-0.009263593218564577
2006-07-31,0.007433760405666389,-0.0037174174233489472,-0.0036247234120564678,-0.0318108175031228
2006-08-31,0.021605292846749023,0.02272371227269293,0.0013680122691220977,0.0273860398943545
2006-09-29,0.009377521689198087,0.01619565743448606,0.009105656493772627,0.011054127073380193
2006-10-31,0.03938828014860913,0.03896992233911624,0.04167337078139319,0.049700185261964645
2006-11-30,0.023124006841378785,0.022554108667330184,0.009624846268673826,0.029720829034515166
2006-12-29,0.016935949964979425,0.01751528536039521,0.021583048012163694,0.008702682595611598
2007-01-31,0.004036454384250167,0.008953781970885057,0.016573996373009953,0.022708751720718266
