date,"Cluster v2 (잔차+동적K, [C23+K24])",Cluster v2 + VM(M&M),"Cluster v2 + VM(실시간,≤1.5x)",Cluster v2 + TV12m(수정),"Cluster v1 (원시+K=10, [K24])",Cluster v1 + VM(M&M),"Cluster v1 + VM(실시간,≤1.5x)",Naive GMVP-LW,Naive GMVP-LW + VM(M&M),"Naive GMVP-LW + VM(실시간,≤1.5x)",EW Market,EW Market + VM(M&M),"EW Market + VM(실시간,≤1.5x)",S&P500 TR (^SP500TR),"S&P500 (^GSPC, 가격)"
2003-02-28,-0.023029376536456633,-0.004300901500143641,-0.023029376536456633,-0.023029376536456633,-0.019614775867836984,-0.0039024989603779073,-0.019614775867836984,-0.011745024116993583,-0.0018524811697270419,-0.011745024116993583,-0.02940253549684142,-0.006115735722844477,-0.02940253549684142,-0.015006476045985,-0.0170036082568717
2003-03-31,0.0045858044649439034,0.0025750820378168523,0.0045858044649439034,0.0045858044649439034,0.00276183063460701,0.0018290072522263554,0.00276183063460701,0.020415486240289295,0.009665157806495007,0.020415486240289295,0.007738065321998403,0.004157771814973823,0.007738065321998403,0.0097130720415776,0.0083575676843328
2003-04-30,0.07249059873217192,0.01426881628215591,0.07249059873217192,0.07249059873217192,0.07369245753053365,0.015546509484203738,0.07369245753053365,0.048697098405439364,0.009919059218545662,0.048697098405439364,0.09363087859836472,0.01929128459145142,0.09363087859836472,0.0823686314485019,0.0810441071800323
2003-05-30,0.06379839664942519,0.02376184874011021,0.06379839664942519,0.06379839664942519,0.06530105141704505,0.0261244024921821,0.06530105141704505,0.07071808105855937,0.026519589934189586,0.07071808105855937,0.11653836357737832,0.04554926991989704,0.11653836357737832,0.0526825563273443,0.0508987096095225
2003-06-30,0.014093520960902967,0.007323217881493192,0.014093520960902967,0.014093520960902967,0.012856356302858085,0.007172967442357964,0.012856356302858085,0.013671880299580157,0.0071778191170529535,0.013671880299580157,0.03234888245444787,0.017165927823956467,0.03234888245444787,0.0127611948807864,0.0113222146768521
2003-07-31,0.049453957735211586,0.025912749668216647,0.049453957735211586,0.049453957735211586,0.046840033939825505,0.026412531492415722,0.046840033939825505,0.04080836751104024,0.021644362359147205,0.04080836751104024,0.060690370113016666,0.03365830711649272,0.060690370113016666,0.0176305984691411,0.0162237019585365
2003-08-29,0.021559710995595484,0.011618439761997832,0.021559710995595484,0.021559710995595484,0.019221426385893612,0.011145992051607297,0.019221426385893612,0.023273320093765874,0.012625163156372198,0.023273320093765874,0.04897071417432659,0.027488903597779425,0.04897071417432659,0.0195004591902778,0.0178732035934878
2003-09-30,-0.0014265667479773103,-0.0015002787498751297,-0.00142656674797731,-0.00142656674797731,-0.0003593764148572681,-0.0004904663344336277,-0.0003593764148572681,0.007675824460561563,0.007972337886889556,0.007675824460561563,-0.00015739606008895535,-0.00025070797500711104,-0.00015739606008895537,-0.0106202754416376,-0.0119443645855257
2003-10-31,0.07685038076473676,0.041515076956268035,0.07685038076473676,0.07685038076473676,0.0732149822874319,0.04258180311081196,0.0732149822874319,0.0539809276561039,0.029541789664590874,0.0539809276561039,0.08740085814925366,0.0500690191229902,0.08740085814925366,0.0565742823537749,0.0549614866357166
2003-11-28,0.03579816344938478,0.02527653674877586,0.03579816344938478,0.03579816344938478,0.034873945158608866,0.026482637227501514,0.034873945158608866,0.03675653714117808,0.02618919281340672,0.03675653714117808,0.03561436930809886,0.026673125450097014,0.03561436930809886,0.0087987539184608,0.0071285040713728
2003-12-31,0.02854379514518638,0.028826536915094982,0.02854379514518638,0.02854379514518638,0.03280243175801303,0.03564320342642316,0.03280243175801303,0.037066161505826256,0.03778867236702202,0.037066161505826256,0.029925873191775473,0.03206700794032833,0.029925873191775473,0.0524424947855304,0.050765540778892
2004-01-30,0.02453574758846178,0.025971509987100835,0.02453574758846178,0.02453574758846178,0.023814242304262833,0.027104455366399993,0.023814242304262833,0.03150049438953227,0.03367068926416892,0.03150049438953227,0.05863204977919569,0.06596802086170683,0.05863204977919569,0.0183556016476416,0.0172763869507552
2004-02-27,0.026119716433678872,0.029922923659421702,0.026119716433678872,0.02460489304120451,0.025910862567499904,0.03193044669350008,0.025910862567499904,0.017481589209516736,0.02017521888635591,0.017481589209516736,0.008522096455188118,0.010247122673665614,0.008522096455188118,0.0138981993275213,0.0122089737376105
2004-03-31,0.009662160725069003,0.013708535793723844,0.009662160725069003,0.010737101651577569,0.00998056648306616,0.015212261873553576,0.00998056648306616,0.006114536943375509,0.008619490721794883,0.006114536943375509,-0.0006164451317031978,-0.0013798176664679162,-0.0006164451317031978,-0.0150861776948094,-0.0163589196178668
2004-04-30,-0.022144704698393667,-0.010555738335317344,-0.022144704698393667,-0.025451662585123068,-0.025347851748178732,-0.013141918765886237,-0.025347851748178732,-0.03466097756414345,-0.016911037057695363,-0.03466097756414345,-0.04182088444602821,-0.021599256728956746,-0.04182088444602821,-0.0156990544769135,-0.0167907519603481
2004-05-28,0.005093393262295926,0.004207802512232503,0.005093393262295926,0.005354885496813274,0.010856509621814735,0.009403526035558843,0.010856509621814735,0.005166265707076511,0.004299047210411515,0.005166265707076511,0.009299722013479434,0.007969723135415517,0.009299722013479434,0.0137210844676272,0.0120834500973541
2004-06-30,0.04161876078517109,0.03738456940869622,0.04161876078517109,0.04742552018321696,0.03855300160971811,0.037259731351996145,0.03855300160971811,0.016613193896379726,0.015113605900626137,0.016613193896379726,0.02979833558288984,0.028414572282155923,0.02979833558288984,0.0194497852057724,0.0179889987714325
2004-07-30,-0.023043975761370745,-0.029252627192703735,-0.023043975761370745,-0.026034225649912323,-0.02550353211139124,-0.03494184766719421,-0.02550353211139124,-0.03846782279137041,-0.049123836891265066,-0.03846782279137041,-0.0693596807429454,-0.09302932917696323,-0.0693596807429454,-0.0331004019130406,-0.0342905195200262
2004-08-31,0.010909326377949303,0.011741319190764118,0.010909326377949303,0.01128423065706799,0.0074464275742418175,0.008511158906482765,0.0074464275742418175,0.011193754268796138,0.012154726693676546,0.011193754268796138,-0.015019737713265762,-0.017504355253882047,-0.015019737713265764,0.0040473776533256,0.0022873503233691
2004-09-30,0.03984321540644692,0.02648100955574494,0.03984321540644692,0.04122050577579154,0.038497825130857574,0.027489842240245768,0.038497825130857574,0.026279224972462756,0.017776364006684114,0.026279224972462756,0.04683675754420162,0.03291216451266949,0.04683675754420162,0.0108293655718463,0.0093638755268388
2004-10-29,0.01646942404841144,0.022619123187625167,0.01646942404841144,0.017038561581970476,0.017598828663256752,0.025981699323677342,0.017598828663256752,0.014930575201309016,0.020636216720612787,0.014930575201309016,0.020010055840907516,0.029244351613501775,0.020010055840907516,0.0152779057977694,0.0140142436909398
2004-11-30,0.062331258630029966,0.05248220526138636,0.062331258630029966,0.08293044838511937,0.07077008912060208,0.06405970804134666,0.07077008912060208,0.05828483957065256,0.04954906158451978,0.05828483957065256,0.08138190328907002,0.07263335502719462,0.08138190328907002,0.0404626973083228,0.0385949362959705
2004-12-31,0.022737591376724833,0.027949827417268733,0.022737591376724833,0.026208117745121134,0.02627028619805907,0.03473572844721518,0.02627028619805907,0.04114721975221498,0.05141684788595012,0.04114721975221498,0.051124667181255884,0.06726136742270171,0.051124667181255884,0.0340280833340873,0.0324582128432051
2005-01-31,-0.021390225620237947,-0.030864972467488316,-0.021390225620237947,-0.025438607720092273,-0.019595127400384143,-0.030677263700953958,-0.019595127400384143,-0.01629578932758921,-0.023934334552571913,-0.01629578932758921,-0.039928692877540445,-0.060656799587673484,-0.039928692877540445,-0.0243783134266012,-0.025290467442294
2005-02-28,0.026762662831655792,0.029164860567725884,0.03912222366916837,0.02849203874558641,0.032584097521287714,0.038154897603380096,0.04785437570361625,0.009521372606021417,0.01032703644869703,0.012294295610651842,0.014774799814109419,0.016886288599298138,0.019985207174879765,0.0210459480323734,0.0189033461321133
2005-03-31,-0.012208314685859971,-0.014700979146180328,-0.01943191723376882,-0.013234511596010466,-0.01587396345970402,-0.02064881138317215,-0.024930390394534895,-0.018100147530434055,-0.021838909974846044,-0.0276424336633561,-0.02901713585321254,-0.03670372938814797,-0.044645148984797677,-0.0177058233700879,-0.0191176555602896
2005-04-29,-0.03531939896412355,-0.0470100630533523,-0.05410260888583774,-0.036375192392195936,-0.04061865001161471,-0.05832437670541225,-0.06205148545707448,-0.026259000151148498,-0.03548983128997514,-0.040512010666375164,-0.05822592974218968,-0.08200789066473896,-0.08846240505293694,-0.0189676948226268,-0.0201085820832634
2005-05-31,0.03950105441915562,0.02342536808215561,0.029852748822350724,0.038173630021585456,0.045467164726959795,0.028711945348475584,0.033024743707767715,0.03370019103281345,0.020304988936170998,0.023590875391652118,0.05943001130750317,0.03676171244925779,0.04153790323486906,0.0318207173493763,0.0299520466312086
2005-06-30,0.03526243575815177,0.03985072910166623,0.05144528931695673,0.033108165104059326,0.0338876699406522,0.041070625087504704,0.04767715149284685,0.02104007991067704,0.023846425415056566,0.027855866420113912,0.030966372361112538,0.036991631148184066,0.04197559952502633,0.0014194031576137,-0.0001427141798677
2005-07-29,0.04546047264413006,0.08201783785650697,0.06693324886837873,0.04341235931502772,0.048230215831127576,0.09371925606445032,0.07108786364887501,0.05376425469342018,0.09830340045838383,0.07938892194231392,0.06544422067000198,0.12630417688923679,0.09690887090718661,0.0371878863444474,0.0359682869036184
2005-08-31,-0.013303075625593063,-0.02133225452661967,-0.021325419824010962,-0.013082059808963188,-0.014543374744664004,-0.025207802391325092,-0.023185868502617373,-0.00024209026618960072,-0.0017783030973911778,-0.0017339417849057716,-0.012218829831038742,-0.021110353978132025,-0.019699051132179485,-0.0091229817340582,-0.0112221045986
2005-09-30,0.006629604418963747,0.008151296041859893,0.008533187642354976,0.006392693875275487,0.0032014249032585873,0.003394108236106526,0.0033909183687972355,0.016223804835038363,0.021760762953441107,0.021824918034649598,0.007699633305143948,0.01007627203258537,0.010138230971625277,0.0080949237626146,0.0069490243167336
2005-10-31,-0.022790142350617288,-0.03677111654918036,-0.03560854930871257,-0.02181707444467023,-0.021629429335346336,-0.03791551648032566,-0.03386747978580614,-0.034195935794105466,-0.054948013528189316,-0.05271723947394484,-0.03372737090201998,-0.057210422782494254,-0.05201439213581661,-0.0166708790682541,-0.0177407799323134
2005-11-30,0.028917747042845575,0.01672666160758415,0.01814939178797943,0.026471509483747553,0.0369994078345768,0.022361759911775927,0.02236147559723169,0.02555517677191578,0.015070457905134919,0.014646953413067184,0.04362415881748709,0.025797641570378418,0.025983598976074537,0.0378223971937723,0.0351860965190933
2005-12-30,-0.0031657613613755176,-0.007733762106077267,-0.0063292038165121516,-0.003340809767581396,-0.0011871761102071182,-0.004908277250077937,-0.0033613259397595515,0.009692525797091234,0.014516442913019238,0.012958226921187976,0.0034017501192504427,0.0036014162652169258,0.0035220634044267896,0.0003496630596047,-0.0009523493171964
2006-01-31,0.046224965842311345,0.09772404213286716,0.06770459857572207,0.047764071798444135,0.04600645528373863,0.10454361215119556,0.06737683273786299,0.05385198699073848,0.11556484546311278,0.07914513029836277,0.08035076088461451,0.18336783723275213,0.11889329113917682,0.0264786560251761,0.025466771341108
2006-02-28,0.011696928856128948,0.012484365546757447,0.012374576802191242,0.011771165890398812,0.009012201364270202,0.010003130483316913,0.009414073050987237,0.0008082929315963543,0.0005114486669242184,0.000982769070258579,0.00012887670530421243,-0.00044093167140672827,8.57455209641732e-05,0.002714178298252,0.0004531577283561
2006-03-31,0.017016625953431452,0.02419690453305926,0.023683532512260297,0.01733965614861738,0.023201041932866547,0.036044221606878105,0.03296015648141294,0.027253478087154583,0.040295360347035424,0.03474000200517256,0.04004738445538553,0.06313140609482767,0.055428450384738856,0.0124486355971236,0.0110958104088896
2006-04-28,0.009504492925814307,0.014019382613612493,0.012411331604144924,0.009834001186387206,0.0038192420189676504,0.003936700947260974,0.0038834552438749394,0.003832946951926679,0.003945756347763985,0.0039040126433134825,0.004742583982361674,0.0056763364045550446,0.005268468188965975,0.0134239618752558,0.0121556529178441
2006-05-31,-0.018324669535841817,-0.035624399665129036,-0.02938439794548487,-0.024017596646153234,-0.030870427853802725,-0.06278098051099748,-0.04820303542242624,-0.027665376338522545,-0.052810156195506115,-0.04339545814950597,-0.05213795909285667,-0.10212193355402949,-0.08010433228100715,-0.0287793617976911,-0.0309169165382031
2006-06-30,0.001478191635334813,0.0021708574165094103,0.0022178950902028115,0.0009719582923247787,-0.0017848280058115828,-0.0004575784429703845,8.103664917304479e-05,-0.008453700544054811,-0.004964987188426296,-0.003438707103574412,-0.009263593218564577,-0.006039298747987341,-0.004423472595065321,0.001353016701495,8.659650459597046e-05
2006-07-31,0.007433760405666389,0.005424076650965648,0.005387069138716552,0.008368946576157665,-0.0037174174233489472,0.000493074515849296,0.0009160441677533806,-0.0036247234120564678,0.0007519440988212394,0.0012903173086250544,-0.0318108175031228,-0.011987554691632457,-0.009435236371947141,0.0061731744853201,0.0050858788034533
2006-08-31,0.021605292846749023,0.014354571139673939,0.014098821979598232,0.0300382890481973,0.02272371227269293,0.01586247087819189,0.014473512472708843,0.0013680122691220977,0.0024606803728632882,0.0027202070434107894,0.0273860398943545,0.018605021675536584,0.016445918857440376,0.0237929492287609,0.0212741931150264
2006-09-29,0.009377521689198087,0.013221344680945211,0.012061107147484512,0.012168562740993481,0.01619565743448606,0.02654685818635879,0.022288310765416472,0.009105656493772627,0.01283894377210238,0.011413517643181723,0.011054127073380193,0.01685528256330207,0.01457601522375767,0.0257681646826517,0.0245662979677823
