date,"Cluster v2 (잔차+동적K, [C23+K24])","Cluster v1 (원시+K=10, [K24])",Naive GMVP-LW,EW Market,S&P500 (approx.)
2003-02-28,-0.023029376536456633,-0.019614775867836984,-0.01174502411699358,-0.02940253549684142,0.021248767888922382
2003-03-31,0.004585804464943907,0.00276183063460701,0.02041548624028931,0.007738065321998403,0.021248767888922382
2003-04-30,0.07249059873217191,0.07369245753053366,0.04869709840543936,0.09363087859836472,0.021248767888922382
2003-05-30,0.06379839664942517,0.06530105141704504,0.07071808105855938,0.11653836357737832,0.021248767888922382
2003-06-30,0.014093520960902967,0.012856356302858085,0.013671880299580157,0.03234888245444787,0.021248767888922382
2003-07-31,0.04945395773521159,0.04684003393982551,0.040808367511040236,0.060690370113016666,0.021248767888922382
2003-08-29,0.021559710995595487,0.019221426385893612,0.023273320093765888,0.04897071417432659,0.021248767888922382
2003-09-30,-0.0014265667479773138,-0.0003593764148572684,0.007675824460561559,-0.00015739606008895535,0.021248767888922382
2003-10-31,0.07685038076473676,0.0732149822874319,0.053980927656103884,0.08740085814925366,0.021248767888922382
2003-11-28,0.03579816344938478,0.034873945158608866,0.03675653714117808,0.03561436930809886,0.021248767888922382
2003-12-31,0.02854379514518637,0.032802431758013034,0.03706616150582626,0.029925873191775473,0.021248767888922382
2004-01-30,0.024535747588461783,0.02381424230426283,0.03150049438953228,0.05863204977919569,0.00865883170994386
2004-02-27,0.026119716433678872,0.0259108625674999,0.017481589209516722,0.008522096455188118,0.00865883170994386
2004-03-31,0.009662160725069006,0.009980566483066158,0.006114536943375512,-0.0006164451317031978,0.00865883170994386
2004-04-30,-0.022144704698393667,-0.02534785174817873,-0.03466097756414345,-0.04182088444602821,0.00865883170994386
2004-05-28,0.005093393262295927,0.010856509621814737,0.005166265707076505,0.009299722013479434,0.00865883170994386
2004-06-30,0.0416187607851711,0.03855300160971814,0.016613193896379736,0.02979833558288984,0.00865883170994386
2004-07-30,-0.023043975761370742,-0.025503532111391235,-0.038467822791370405,-0.0693596807429454,0.00865883170994386
2004-08-31,0.010909326377949306,0.007446427574241818,0.011193754268796152,-0.015019737713265762,0.00865883170994386
2004-09-30,0.03984321540644692,0.038497825130857574,0.026279224972462767,0.04683675754420162,0.00865883170994386
2004-10-29,0.01646942404841144,0.017598828663256752,0.014930575201309013,0.020010055840907516,0.00865883170994386
2004-11-30,0.062331258630029966,0.07077008912060209,0.058284839570652565,0.08138190328907002,0.00865883170994386
2004-12-31,0.02273759137672483,0.026270286198059073,0.04114721975221497,0.051124667181255884,0.00865883170994386
2005-01-31,-0.021390225620237954,-0.01959512740038414,-0.016295789327589204,-0.039928692877540445,0.003994400555316968
2005-02-28,0.026762662831655792,0.032584097521287714,0.009521372606021417,0.014774799814109419,0.003994400555316968
2005-03-31,-0.01220831468585997,-0.015873963459704023,-0.01810014753043405,-0.02901713585321254,0.003994400555316968
2005-04-29,-0.03531939896412355,-0.040618650011614715,-0.026259000151148508,-0.05822592974218968,0.003994400555316968
2005-05-31,0.03950105441915563,0.0454671647269598,0.03370019103281344,0.05943001130750317,0.003994400555316968
2005-06-30,0.03526243575815177,0.033887669940652204,0.02104007991067705,0.030966372361112538,0.003994400555316968
2005-07-29,0.04546047264413006,0.04823021583112757,0.05376425469342018,0.06544422067000198,0.003994400555316968
2005-08-31,-0.013303075625593063,-0.014543374744664004,-0.00024209026618960162,-0.012218829831038742,0.003994400555316968
2005-09-30,0.006629604418963747,0.0032014249032585886,0.016223804835038328,0.007699633305143948,0.003994400555316968
2005-10-31,-0.02279014235061728,-0.021629429335346336,-0.03419593579410547,-0.03372737090201998,0.003994400555316968
2005-11-30,0.02891774704284558,0.036999407834576795,0.02555517677191578,0.04362415881748709,0.003994400555316968
2005-12-30,-0.003165761361375517,-0.0011871761102071172,0.009692525797091229,0.0034017501192504435,0.003994400555316968
2006-01-31,0.046224965842311345,0.046006455283738625,0.053851986990738475,0.08035076088461451,0.012299556585700477
