date,SP500TR,GSPC
2002-02-28,-0.01928104192581792,-0.020766211039727644
2002-03-31,0.03760735347665056,0.03673889286207466
2002-04-30,-0.060630917535338225,-0.061417625919219065
2002-05-31,-0.007363921618852465,-0.009081481352177012
2002-06-30,-0.07123280071195381,-0.0724553538081798
2002-07-31,-0.07795494840008121,-0.07900427514940767
2002-08-31,0.006572365086236154,0.004881433306494376
2002-09-30,-0.10868594935942699,-0.11002431825242787
2002-10-31,0.08801932150135228,0.08644880033371405
2002-11-30,0.05885837669766247,0.05706962070498589
2002-12-31,-0.05874359841255483,-0.06033257188502883
2003-01-31,-0.02619771773687818,-0.02741469268304464
2003-02-28,-0.01500647604598504,-0.01700360825687175
2003-03-31,0.009713072041577675,0.008357567684332823
2003-04-30,0.08236863144850193,0.0810441071800323
2003-05-31,0.05268255632734431,0.050898709609522585
2003-06-30,0.01276119488078642,0.011322214676852127
2003-07-31,0.017630598469141168,0.016223701958536507
2003-08-31,0.019500459190277875,0.017873203593487874
2003-09-30,-0.010620275441637683,-0.011944364585525724
2003-10-31,0.05657428235377493,0.05496148663571665
2003-11-30,0.008798753918460855,0.0071285040713728876
2003-12-31,0.052442494785530425,0.05076554077889206
2004-01-31,0.018355601647641606,0.017276386950755285
2004-02-29,0.013898199327521343,0.01220897373761054
2004-03-31,-0.015086177694809466,-0.01635891961786684
2004-04-30,-0.015699054476913554,-0.016790751960348183
2004-05-31,0.01372108446762721,0.01208345009735412
2004-06-30,0.019449785205772452,0.017988998771432563
2004-07-31,-0.033100401913040645,-0.034290519520026264
2004-08-31,0.0040473776533256345,0.0022873503233691306
2004-09-30,0.010829365571846328,0.009363875526838816
2004-10-31,0.015277905797769442,0.014014243690939843
2004-11-30,0.04046269730832286,0.03859493629597055
2004-12-31,0.034028083334087356,0.03245821284320516
2005-01-31,-0.02437831342660124,-0.025290467442294018
2005-02-28,0.021045948032373474,0.018903346132113308
2005-03-31,-0.01770582337008797,-0.01911765556028966
2005-04-30,-0.018967694822626835,-0.020108582083263493
2005-05-31,0.031820717349376304,0.02995204663120865
2005-06-30,0.0014194031576137967,-0.00014271417986777557
2005-07-31,0.037187886344447474,0.03596828690361842
2005-08-31,-0.009122981734058233,-0.011222104598600069
2005-09-30,0.00809492376261467,0.00694902431673361
2005-10-31,-0.016670879068254152,-0.01774077993231349
2005-11-30,0.03782239719377234,0.035186096519093324
2005-12-31,0.0003496630596047101,-0.0009523493171964548
2006-01-31,0.026478656025176184,0.025466771341108085
2006-02-28,0.0027141782982520457,0.0004531577283561905
2006-03-31,0.012448635597123614,0.011095810408889628
2006-04-30,0.013423961875255852,0.01215565291784415
2006-05-31,-0.02877936179769114,-0.030916916538203165
2006-06-30,0.0013530167014950134,8.659650459597046e-05
2006-07-31,0.006173174485320176,0.0050858788034533475
2006-08-31,0.023792949228760962,0.02127419311502643
2006-09-30,0.02576816468265175,0.024566297967782313
2006-10-31,0.032583502904404815,0.03150800358539563
2006-11-30,0.01902015555116021,0.016466656343095964
2006-12-31,0.014026685842574382,0.012615782814670462
2007-01-31,0.015122641547361981,0.014059043023177953
2007-02-28,-0.01956115215710974,-0.021846175991944383
2007-03-31,0.011186833026724186,0.009979982939206433
2007-04-30,0.04429756365397308,0.043290690426759815
2007-05-31,0.03489320030160803,0.032549228707361655
2007-06-30,-0.01661234360214492,-0.01781632254788501
2007-07-31,-0.031006094301293752,-0.03198187836198829
2007-08-31,0.014988397191879166,0.012863572018857905
2007-09-30,0.037400372754206934,0.03579400817860079
2007-10-31,0.015907127256301612,0.014822338223554832
2007-11-30,-0.04180842988140243,-0.04404341737941575
2007-12-31,-0.006937014740380998,-0.008628508561297932
2008-01-31,-0.05998104234898716,-0.06116343227776988
2008-02-29,-0.03248301353714156,-0.03476119273728817
2008-03-31,-0.004319497052708621,-0.005959623397817415
2008-04-30,0.04870187258421854,0.047546697641229096
2008-05-31,0.012953623166434225,0.01067418170406853
2008-06-30,-0.08430472359561636,-0.08596238482631446
2008-07-31,-0.008407683254493703,-0.009859371185302779
2008-08-31,0.014465924888692916,0.012190464669121548
2008-09-30,-0.08910565799381842,-0.09079143354379215
2008-10-31,-0.16795056120710483,-0.16942452401777075
2008-11-30,-0.07175186154441271,-0.0748490423387097
2008-12-31,0.010642094336859032,0.007821576633499472
2009-01-31,-0.08428882183470598,-0.08565734305805428
2009-02-28,-0.1064779993427244,-0.10993119762019943
2009-03-31,0.08759800952399832,0.08540446199532292
2009-04-30,0.09570913847802687,0.09392507914826331
2009-05-31,0.055931611052769004,0.05308144638516654
2009-06-30,0.0019853143855079747,0.00019582726560996022
2009-07-31,0.07563352877310114,0.07414172714778422
2009-08-31,0.03610345331981035,0.03356018886854417
2009-09-30,0.03731770053124239,0.03572334572311964
2009-10-31,-0.018576192928662527,-0.019762000526814205
2009-11-30,0.05998224648502437,0.05736406145372763
2009-12-31,0.01931565516431122,0.017770570919338313
2010-01-31,-0.03597277582908165,-0.03697424569226215
2010-02-28,0.030975496421446147,0.028513689046546054
2010-03-31,0.06034702413052129,0.058796425545497355
2010-04-30,0.015786410738919843,0.014759230482012997
2010-05-31,-0.07985057037717469,-0.08197584207319053
2010-06-30,-0.05234864530129313,-0.05388244223983851
2010-07-31,0.07006060138505243,0.06877784957463517
2010-08-31,-0.0451400100707674,-0.04744918363260475
2010-09-30,0.08924133290705716,0.08755110305113556
2010-10-31,0.0380523410809408,0.03685599403554063
2010-11-30,0.00012616131707976486,-0.002290249746576656
2010-12-31,0.06683187115331202,0.06530004034715509
2011-01-31,0.023700562531841385,0.022645574359139164
2011-02-28,0.034258986245601086,0.03195656372809341
2011-03-31,0.00039753079391324775,-0.0010473129391664893
2011-04-30,0.02961457779382526,0.028495380666536008
2011-05-31,-0.011319520481623324,-0.01350095289522324
2011-06-30,-0.016669153060132724,-0.018257461652479323
2011-07-31,-0.020333072710161826,-0.02147442530666621
2011-08-31,-0.05432408864160487,-0.05679110795232889
2011-09-30,-0.07029631842319006,-0.07176198808089651
2011-10-31,0.1092920593446356,0.10772303843744147
2011-11-30,-0.0022084033314586637,-0.005058715107011391
2011-12-31,0.010228846127483093,0.008532763666636134
2012-01-31,0.044813659770906344,0.043583062704985354
2012-02-29,0.043241775951570416,0.04058946376811723
2012-03-31,0.03290793592168351,0.03133231453144192
2012-04-30,-0.006273990500625604,-0.007497452372495994
2012-05-31,-0.06010131843340516,-0.06265072571454366
2012-06-30,0.041202527942957756,0.03955498222833631
2012-07-31,0.013888745439514905,0.012597574204787909
2012-08-31,0.02252337785268077,0.019763369506085704
2012-09-30,0.02584258200468681,0.024236153617775313
2012-10-31,-0.018465081819009077,-0.01978940971629395
2012-11-30,0.005799392317403118,0.0028467166850427716
2012-12-31,0.009114227632879057,0.007068230956284616
2013-01-31,0.05179599979957472,0.050428096466868855
2013-02-28,0.013575489324408219,0.011060648765041536
2013-03-31,0.037503044991254564,0.03598772398287298
2013-04-30,0.01926675406801892,0.018085767779890016
2013-05-31,0.023390087514379987,0.020762811683057825
2013-06-30,-0.01342813167604373,-0.014999301595580827
2013-07-31,0.0508864835042393,0.04946207991308538
2013-08-31,-0.02896132169031196,-0.031298019479343964
2013-09-30,0.031358276472711166,0.029749523259195332
2013-10-31,0.045967295093059635,0.04459575276194472
2013-11-30,0.030473912518165225,0.028049471367328715
2013-12-31,0.025317627354634054,0.023562791975445974
2014-01-31,-0.03457608862369477,-0.035582905955811595
2014-02-28,0.04574577355919507,0.0431170301781616
2014-03-31,0.008403625503505596,0.006932165418227054
2014-04-30,0.007391461171702307,0.006200789153414155
2014-05-31,0.02347625881264337,0.02103028007328045
2014-06-30,0.020656293518999336,0.019058331749470137
2014-07-31,-0.013791528350802995,-0.015079830845342368
2014-08-31,0.04000357932704479,0.037655295579825276
2014-09-30,-0.014020162057698515,-0.015513837249453988
2014-10-31,0.024424800677674163,0.023201460667203078
2014-11-30,0.02689408693115003,0.02453358864631494
2014-12-31,-0.002519216829407256,-0.004188587515997044
2015-01-31,-0.03002035152924043,-0.031040805838410623
2015-02-28,0.057473686614352815,0.0548925108906233
2015-03-31,-0.015815639164743267,-0.017396107114219572
2015-04-30,0.009594591074544079,0.008520819822535275
2015-05-31,0.012858597308287534,0.010491382304589791
2015-06-30,-0.019359123789635224,-0.021011671979729973
2015-07-31,0.02095206811739847,0.019742029435184882
2015-08-31,-0.06033421784540227,-0.06258081825586559
2015-09-30,-0.02474358481868466,-0.026442831280001466
2015-10-31,0.08435457214648068,0.08298311781266654
2015-11-30,0.0029731408930131487,0.0005048691103348713
2015-12-31,-0.015771957857693808,-0.017530185032692547
2016-01-31,-0.04962322898072313,-0.0507353220469523
2016-02-29,-0.0013491069275127776,-0.0041283603090035426
2016-03-31,0.06783732412843513,0.06599111444005845
2016-04-30,0.0038779624059339657,0.0026993982833325436
2016-05-31,0.01795723663142401,0.015324602525288444
2016-06-30,0.0025922535383720025,0.0009109212401243738
2016-07-31,0.03686795964116185,0.035609800753315435
2016-08-31,0.0014048510677484582,-0.0012192428990193127
2016-09-30,0.00018688478819450793,-0.0012344511393173052
2016-10-31,-0.01824049272440731,-0.01942567890903446
2016-11-30,0.037035137353959025,0.034174521829295035
2016-12-31,0.019765374837583005,0.01820076244186586
2017-01-31,0.01896619487883644,0.01788435819838252
2017-02-28,0.039708178764865654,0.03719816006681631
2017-03-31,0.0011647620747521348,-0.0003891971352694146
2017-04-30,0.010270539195507356,0.009091208748854607
2017-05-31,0.014072531092810037,0.011576251246328662
2017-06-30,0.006241750550943559,0.004813775207812565
2017-07-31,0.02056280365850882,0.019348826001101882
2017-08-31,0.0030620867698973875,0.000546433019853243
2017-09-30,0.020627755782101964,0.019302978562167672
2017-10-31,0.023334751501988382,0.02218813506615125
2017-11-30,0.030669580718061917,0.028082627806563343
2017-12-31,0.011118318682830974,0.009831630594270502
2018-01-31,0.05725377894461947,0.05617870412552817
2018-02-28,-0.03685581181395381,-0.0389473718793677
2018-03-31,-0.025414020168213147,-0.02688449860055664
2018-04-30,0.003837109768069835,0.0027187749953683227
2018-05-31,0.024082244244804096,0.0216083418545836
2018-06-30,0.006154449872648016,0.00484243626760783
2018-07-31,0.03721476479445185,0.03602155617289915
2018-08-31,0.032583990699538656,0.030263211276748248
2018-09-30,0.0056920706182788106,0.0042942874264617625
2018-10-31,-0.06834998886769361,-0.0694033560936963
2018-11-30,0.020378083784286183,0.01785935665477978
2018-12-31,-0.0902898436547529,-0.09177689467997252
2019-01-31,0.08013483569189983,0.07868440166582613
2019-02-28,0.03210851327546971,0.029728889343927145
2019-03-31,0.019431281619924246,0.01792425624958849
2019-04-30,0.04048931393952193,0.03931349831373798
2019-05-31,-0.0635480335027736,-0.0657777313668354
2019-06-30,0.07047670780596915,0.0689301639982407
2019-07-31,0.014373109105911164,0.013128152166957952
2019-08-31,-0.015841356518145777,-0.018091627240523933
2019-09-30,0.018710674837483898,0.017181177931020697
2019-10-31,0.02165901486088595,0.020431770513684056
2019-11-30,0.03629905189411575,0.034047037714499906
2019-12-31,0.030182811111814756,0.02858981890573009
2020-01-31,-0.00039212586234349533,-0.0016280928190489652
2020-02-29,-0.08231873294630587,-0.08411048363840312
2020-03-31,-0.12351349571065617,-0.12511928240892822
2020-04-30,0.12819402479140174,0.1268440381652789
2020-05-31,0.04762743737938613,0.04528181966555822
2020-06-30,0.01988818896464828,0.01838839651392421
2020-07-31,0.05638519336235093,0.055101321480443666
2020-08-31,0.07187979994601834,0.07006466690171775
2020-09-30,-0.03799716499763972,-0.039227970178423055
2020-10-31,-0.026592680019229653,-0.027665786221379718
2020-11-30,0.10946365941098035,0.10754563544385909
2020-12-31,0.03844857198813356,0.03712145909357001
2021-01-31,-0.01009624917619234,-0.011136660755445171
