date,RV2,RV2_var,n_days,mkt_rf_sum,RF,ann_vol
2002-01-31,0.00203218,0.002124811,21,-0.013399999999999997,0.0021000000000000003,0.15616068647390097
2002-02-28,0.002497740000000001,0.002609614444444445,19,-0.022000000000000002,0.0019,0.18201076891217183
2002-03-31,0.0019379299999999998,0.0019439636842105259,20,0.0427,0.002,0.15626233711294607
2002-04-30,0.00221514,0.0021898723809523814,22,-0.0524,0.0022,0.15929036950858586
2002-05-31,0.00376787,0.00394077380952381,22,-0.011699999999999992,0.0022,0.20774801607191867
2002-06-30,0.00350639,0.003408153157894738,20,-0.0733,0.002,0.21019161258242441
2002-07-31,0.01417942,0.01456342857142857,22,-0.0782,0.0022,0.4030121721599621
2002-08-31,0.00875684,0.009169624761904763,22,0.009399999999999993,0.0022,0.31671062788953236
2002-09-30,0.006873329999999999,0.006649281578947369,20,-0.10550000000000001,0.002,0.2942855042301608
2002-10-31,0.010943420000000002,0.01114409181818182,23,0.08080000000000001,0.0023,0.3462684206369891
2002-11-30,0.00438372,0.004423703157894736,20,0.0602,0.002,0.23502100331672485
2002-12-31,0.00253886,0.0024976029999999997,21,-0.058,0.0021000000000000003,0.17454603977174618
2003-01-31,0.004718,0.004925100000000002,21,-0.023999999999999994,0.0,0.23794116919944727
2003-02-28,0.0023378899999999996,0.0024503677777777772,19,-0.017700000000000004,0.0,0.1760903296905492
2003-03-31,0.00555161,0.0058198059999999985,21,0.013699999999999997,0.0,0.2581071870367038
2003-04-30,0.0028488799999999994,0.0026697220000000002,21,0.0802,0.0,0.18489607892002466
2003-05-31,0.0021263799999999998,0.002055091,21,0.05960000000000001,0.0,0.15973903718252466
2003-06-30,0.00200268,0.0020915640000000006,21,0.015000000000000006,0.0,0.15502309505360806
2003-07-31,0.0019841399999999997,0.0020511942857142857,22,0.024,0.0,0.15075616676667597
2003-08-31,0.0010016900000000002,0.0010241620000000001,21,0.023499999999999993,0.0,0.10963703753750373
2003-09-30,0.00193244,0.0020225639999999997,21,-0.011399999999999999,0.0,0.15228026792726626
2003-10-31,0.0014794100000000002,0.0013835645454545454,23,0.05990000000000001,0.0,0.12731530868708194
2003-11-30,0.00102448,0.001070506666666667,19,0.014000000000000002,0.0,0.11656689066797656
2003-12-31,0.0009759400000000001,0.0009368057142857141,22,0.0424,0.0,0.10573054946849132
